"","gutenberg_id","text"
"1",2344,"The Adventure of the Cardboard Box"
"2",2344,""
"3",2344,""
"4",2344,"By"
"5",2344,""
"6",2344,"Sir Arthur Conan Doyle"
"7",2344,""
"8",2344,""
"9",2344,""
"10",2344,""
"11",2344,"In choosing a few typical cases which illustrate the remarkable mental"
"12",2344,"qualities of my friend, Sherlock Holmes, I have endeavoured, as far as"
"13",2344,"possible, to select those which presented the minimum of"
"14",2344,"sensationalism, while offering a fair field for his talents.  It is,"
"15",2344,"however, unfortunately impossible entirely to separate the sensational"
"16",2344,"from the criminal, and a chronicler is left in the dilemma that he must"
"17",2344,"either sacrifice details which are essential to his statement and so"
"18",2344,"give a false impression of the problem, or he must use matter which"
"19",2344,"chance, and not choice, has provided him with.  With this short preface"
"20",2344,"I shall turn to my notes of what proved to be a strange, though a"
"21",2344,"peculiarly terrible, chain of events."
"22",2344,""
"23",2344,"It was a blazing hot day in August.  Baker Street was like an oven, and"
"24",2344,"the glare of the sunlight upon the yellow brickwork of the house across"
"25",2344,"the road was painful to the eye.  It was hard to believe that these"
"26",2344,"were the same walls which loomed so gloomily through the fogs of"
"27",2344,"winter.  Our blinds were half-drawn, and Holmes lay curled upon the"
"28",2344,"sofa, reading and re-reading a letter which he had received by the"
"29",2344,"morning post.  For myself, my term of service in India had trained me"
"30",2344,"to stand heat better than cold, and a thermometer at ninety was no"
"31",2344,"hardship.  But the morning paper was uninteresting.  Parliament had"
"32",2344,"risen. Everybody was out of town, and I yearned for the glades of the"
"33",2344,"New Forest or the shingle of Southsea.  A depleted bank account had"
"34",2344,"caused me to postpone my holiday, and as to my companion, neither the"
"35",2344,"country nor the sea presented the slightest attraction to him.  He"
"36",2344,"loved to lie in the very center of five millions of people, with his"
"37",2344,"filaments stretching out and running through them, responsive to every"
"38",2344,"little rumour or suspicion of unsolved crime.  Appreciation of nature"
"39",2344,"found no place among his many gifts, and his only change was when he"
"40",2344,"turned his mind from the evil-doer of the town to track down his"
"41",2344,"brother of the country."
"42",2344,""
"43",2344,"Finding that Holmes was too absorbed for conversation I had tossed aside"
"44",2344,"the barren paper, and leaning back in my chair I fell into a brown"
"45",2344,"study.  Suddenly my companion's voice broke in upon my thoughts:"
"46",2344,""
"47",2344,"""You are right, Watson,"" said he.  ""It does seem a most preposterous"
"48",2344,"way of settling a dispute."""
"49",2344,""
"50",2344,"""Most preposterous!"" I exclaimed, and then suddenly realizing how he"
"51",2344,"had echoed the inmost thought of my soul, I sat up in my chair and"
"52",2344,"stared at him in blank amazement."
"53",2344,""
"54",2344,"""What is this, Holmes?"" I cried.  ""This is beyond anything which I"
"55",2344,"could have imagined."""
"56",2344,""
"57",2344,"He laughed heartily at my perplexity."
"58",2344,""
"59",2344,"""You remember,"" said he, ""that some little time ago when I read you the"
"60",2344,"passage in one of Poe's sketches in which a close reasoner follows the"
"61",2344,"unspoken thoughts of his companion, you were inclined to treat the"
"62",2344,"matter as a mere tour-de-force of the author.  On my remarking that I"
"63",2344,"was constantly in the habit of doing the same thing you expressed"
"64",2344,"incredulity."""
"65",2344,""
"66",2344,"""Oh, no!"""
"67",2344,""
"68",2344,"""Perhaps not with your tongue, my dear Watson, but certainly with your"
"69",2344,"eyebrows.  So when I saw you throw down your paper and enter upon a"
"70",2344,"train of thought, I was very happy to have the opportunity of reading"
"71",2344,"it off, and eventually of breaking into it, as a proof that I had been"
"72",2344,"in rapport with you."""
"73",2344,""
"74",2344,"But I was still far from satisfied.  ""In the example which you read to"
"75",2344,"me,"" said I, ""the reasoner drew his conclusions from the actions of the"
"76",2344,"man whom he observed. If I remember right, he stumbled over a heap of"
"77",2344,"stones, looked up at the stars, and so on.  But I have been seated"
"78",2344,"quietly in my chair, and what clues can I have given you?"""
"79",2344,""
"80",2344,"""You do yourself an injustice.  The features are given to man as the"
"81",2344,"means by which he shall express his emotions, and yours are faithful"
"82",2344,"servants."""
"83",2344,""
"84",2344,"""Do you mean to say that you read my train of thoughts from my"
"85",2344,"features?"""
"86",2344,""
"87",2344,"""Your features and especially your eyes.  Perhaps you cannot yourself"
"88",2344,"recall how your reverie commenced?"""
"89",2344,""
"90",2344,"""No, I cannot."""
"91",2344,""
"92",2344,"""Then I will tell you.  After throwing down your paper, which was the"
"93",2344,"action which drew my attention to you, you sat for half a minute with a"
"94",2344,"vacant expression.  Then your eyes fixed themselves upon your newly"
"95",2344,"framed picture of General Gordon, and I saw by the alteration in your"
"96",2344,"face that a train of thought had been started.  But it did not lead"
"97",2344,"very far.  Your eyes flashed across to the unframed portrait of Henry"
"98",2344,"Ward Beecher which stands upon the top of your books.  Then you glanced"
"99",2344,"up at the wall, and of course your meaning was obvious.  You were"
"100",2344,"thinking that if the portrait were framed it would just cover that bare"
"101",2344,"space and correspond with Gordon's picture there."""
"102",2344,""
"103",2344,"""You have followed me wonderfully!"" I exclaimed."
"104",2344,""
"105",2344,"""So far I could hardly have gone astray.  But now your thoughts went"
"106",2344,"back to Beecher, and you looked hard across as if you were studying the"
"107",2344,"character in his features. Then your eyes ceased to pucker, but you"
"108",2344,"continued to look across, and your face was thoughtful.  You were"
"109",2344,"recalling the incidents of Beecher's career.  I was well aware that you"
"110",2344,"could not do this without thinking of the mission which he undertook on"
"111",2344,"behalf of the North at the time of the Civil War, for I remember your"
"112",2344,"expressing your passionate indignation at the way in which he was"
"113",2344,"received by the more turbulent of our people.  You felt so strongly"
"114",2344,"about it that I knew you could not think of Beecher without thinking of"
"115",2344,"that also.  When a moment later I saw your eyes wander away from the"
"116",2344,"picture, I suspected that your mind had now turned to the Civil War,"
"117",2344,"and when I observed that your lips set, your eyes sparkled, and your"
"118",2344,"hands clenched I was positive that you were indeed thinking of the"
"119",2344,"gallantry which was shown by both sides in that desperate struggle. But"
"120",2344,"then, again, your face grew sadder, you shook your head.  You were"
"121",2344,"dwelling upon the sadness and horror and useless waste of life.  Your"
"122",2344,"hand stole towards your own old wound and a smile quivered on your"
"123",2344,"lips, which showed me that the ridiculous side of this method of"
"124",2344,"settling international questions had forced itself upon your mind. At"
"125",2344,"this point I agreed with you that it was preposterous and was glad to"
"126",2344,"find that all my deductions had been correct."""
"127",2344,""
"128",2344,"""Absolutely!"" said I.  ""And now that you have explained it, I confess"
"129",2344,"that I am as amazed as before."""
"130",2344,""
"131",2344,"""It was very superficial, my dear Watson, I assure you.  I should not"
"132",2344,"have intruded it upon your attention had you not shown some incredulity"
"133",2344,"the other day.  But I have in my hands here a little problem which may"
"134",2344,"prove to be more difficult of solution than my small essay in thought"
"135",2344,"reading.  Have you observed in the paper a short paragraph referring to"
"136",2344,"the remarkable contents of a packet sent through the post to Miss"
"137",2344,"Cushing, of Cross Street, Croydon?"""
"138",2344,""
"139",2344,"""No, I saw nothing."""
"140",2344,""
"141",2344,"""Ah! then you must have overlooked it.  Just toss it over to me. Here"
"142",2344,"it is, under the financial column.  Perhaps you would be good enough to"
"143",2344,"read it aloud."""
"144",2344,""
"145",2344,"I picked up the paper which he had thrown back to me and read the"
"146",2344,"paragraph indicated. It was headed, ""A Gruesome Packet."""
"147",2344,""
"148",2344,"""Miss Susan Cushing, living at Cross Street, Croydon, has been made the"
"149",2344,"victim of what must be regarded as a peculiarly revolting practical"
"150",2344,"joke unless some more sinister meaning should prove to be attached to"
"151",2344,"the incident.  At two o'clock yesterday afternoon a small packet,"
"152",2344,"wrapped in brown paper, was handed in by the postman.  A cardboard box"
"153",2344,"was inside, which was filled with coarse salt. On emptying this, Miss"
"154",2344,"Cushing was horrified to find two human ears, apparently quite freshly"
"155",2344,"severed.  The box had been sent by parcel post from Belfast upon the"
"156",2344,"morning before.  There is no indication as to the sender, and the"
"157",2344,"matter is the more mysterious as Miss Cushing, who is a maiden lady of"
"158",2344,"fifty, has led a most retired life, and has so few acquaintances or"
"159",2344,"correspondents that it is a rare event for her to receive anything"
"160",2344,"through the post.  Some years ago, however, when she resided at Penge,"
"161",2344,"she let apartments in her house to three young medical students, whom"
"162",2344,"she was obliged to get rid of on account of their noisy and irregular"
"163",2344,"habits.  The police are of opinion that this outrage may have been"
"164",2344,"perpetrated upon Miss Cushing by these youths, who owed her a grudge"
"165",2344,"and who hoped to frighten her by sending her these relics of the"
"166",2344,"dissecting-rooms.  Some probability is lent to the theory by the fact"
"167",2344,"that one of these students came from the north of Ireland, and, to the"
"168",2344,"best of Miss Cushing's belief, from Belfast.  In the meantime, the"
"169",2344,"matter is being actively investigated, Mr. Lestrade, one of the very"
"170",2344,"smartest of our detective officers, being in charge of the case."""
"171",2344,""
"172",2344,"""So much for the Daily Chronicle,"" said Holmes as I finished reading."
"173",2344,"""Now for our friend Lestrade.  I had a note from him this morning, in"
"174",2344,"which he says:"
"175",2344,""
"176",2344,"""I think that this case is very much in your line.  We have every hope"
"177",2344,"of clearing the matter up, but we find a little difficulty in getting"
"178",2344,"anything to work upon.  We have, of course, wired to the Belfast"
"179",2344,"post-office, but a large number of parcels were handed in upon that"
"180",2344,"day, and they have no means of identifying this particular one, or of"
"181",2344,"remembering the sender.  The box is a half-pound box of honeydew"
"182",2344,"tobacco and does not help us in any way.  The medical student theory"
"183",2344,"still appears to me to be the most feasible, but if you should have a"
"184",2344,"few hours to spare I should be very happy to see you out here.  I shall"
"185",2344,"be either at the house or in the police-station all day."
"186",2344,""
"187",2344,"""What say you, Watson?  Can you rise superior to the heat and run down"
"188",2344,"to Croydon with me on the off chance of a case for your annals?"""
"189",2344,""
"190",2344,"""I was longing for something to do."""
"191",2344,""
"192",2344,"""You shall have it then.  Ring for our boots and tell them to order a"
"193",2344,"cab.  I'll be back in a moment when I have changed my dressing-gown and"
"194",2344,"filled my cigar-case."""
"195",2344,""
"196",2344,"A shower of rain fell while we were in the train, and the heat was far"
"197",2344,"less oppressive in Croydon than in town.  Holmes had sent on a wire, so"
"198",2344,"that Lestrade, as wiry, as dapper, and as ferret-like as ever, was"
"199",2344,"waiting for us at the station.  A walk of five minutes took us to Cross"
"200",2344,"Street, where Miss Cushing resided."
"201",2344,""
"202",2344,"It was a very long street of two-story brick houses, neat and prim,"
"203",2344,"with whitened stone steps and little groups of aproned women gossiping"
"204",2344,"at the doors.  Halfway down, Lestrade stopped and tapped at a door,"
"205",2344,"which was opened by a small servant girl.  Miss Cushing was sitting in"
"206",2344,"the front room, into which we were ushered.  She was a placid-faced"
