,author,title,sentence,sentence_nr,words,kind
7,"Christie, Agatha",The Mysterious Affair at Styles,Nevertheless in view of the worldwide notoriety which attended it I have been asked both by my friend Poirot and the family themselves to write an account of the whole story,15,Hercule Poirot,person
8,"Christie, Agatha",The Mysterious Affair at Styles,Having no near relations or friends I was trying to make up my mind what to do when I ran across John Cavendish,19,John Cavendish,person
10,"Christie, Agatha",The Mysterious Affair at Styles,As a boy though I had often stayed at Styles his mothers place in Essex,23,Essex,location
11,"Christie, Agatha",The Mysterious Affair at Styles,As a boy though I had often stayed at Styles his mothers place in Essex,23,Styles,location
12,"Christie, Agatha",The Mysterious Affair at Styles,We had a good yarn about old times and it ended in his inviting me down to Styles to spend my leave there,24,Styles,location
13,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Cavendish who had married Johns father when he was a widower with two sons had been a handsome woman of middleage as I remembered her,31,John Cavendish,person
14,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Cavendish who had married Johns father when he was a widower with two sons had been a handsome woman of middleage as I remembered her,31,Mary Cavendish,person
15,"Christie, Agatha",The Mysterious Affair at Styles,Their countryplace Styles Court had been purchased by Mr Cavendish early in their married life,35,Styles,location
16,"Christie, Agatha",The Mysterious Affair at Styles,Their countryplace Styles Court had been purchased by Mr Cavendish early in their married life,35,Mr Cavendish,person
17,"Christie, Agatha",The Mysterious Affair at Styles,Lawrence the younger had been a delicate youth,38,Lawrence Cavendish,person
18,"Christie, Agatha",The Mysterious Affair at Styles,John practiced for some time as a barrister but had finally settled down to the more congenial life of a country squire,40,John Cavendish,person
19,"Christie, Agatha",The Mysterious Affair at Styles,He had married two years ago and had taken his wife to live at Styles though I entertained a shrewd suspicion that he would have preferred his mother to increase his allowance which would have enabled him to have a home of his own,41,Styles,location
20,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Cavendish however was a lady who liked to make her own plans and expected other people to fall in with them and in this case she certainly had the whip hand namely the purse strings,42,Mary Cavendish,person
21,"Christie, Agatha",The Mysterious Affair at Styles,John noticed my surprise at the news of his mothers remarriage and smiled rather ruefully,43,John Cavendish,person
22,"Christie, Agatha",The Mysterious Affair at Styles,,45,Arthur Hastings,person
27,"Christie, Agatha",The Mysterious Affair at Styles,Thus it came about that three days later I descended from the train at Styles St Mary an absurd little station with no apparent reason for existence perched up in the midst of green fields and country lanes,64,Styles St,location
28,"Christie, Agatha",The Mysterious Affair at Styles,Thus it came about that three days later I descended from the train at Styles St Mary an absurd little station with no apparent reason for existence perched up in the midst of green fields and country lanes,64,Styles,location
29,"Christie, Agatha",The Mysterious Affair at Styles,Thus it came about that three days later I descended from the train at Styles St Mary an absurd little station with no apparent reason for existence perched up in the midst of green fields and country lanes,64,Styles St Mary,location
30,"Christie, Agatha",The Mysterious Affair at Styles,John Cavendish was waiting on the platform and piloted me out to the car,65,John Cavendish,person
32,"Christie, Agatha",The Mysterious Affair at Styles,The village of Styles St Mary was situated about two miles from the little station and Styles Court lay a mile the other side of it,68,Mary Cavendish,person
35,"Christie, Agatha",The Mysterious Affair at Styles,The village of Styles St Mary was situated about two miles from the little station and Styles Court lay a mile the other side of it,68,Styles St Mary,location
36,"Christie, Agatha",The Mysterious Affair at Styles,As one looked out over the flat Essex country lying so green and peaceful under the afternoon sun it seemed almost impossible to believe that not so very far away a great war was running its appointed course,70,Essex,location
37,"Christie, Agatha",The Mysterious Affair at Styles,As we turned in at the lodge gates John said  Im afraid youll find it very quiet down here Hastings,72,John Cavendish,person
38,"Christie, Agatha",The Mysterious Affair at Styles,As we turned in at the lodge gates John said  Im afraid youll find it very quiet down here Hastings,72,Arthur Hastings,person
40,"Christie, Agatha",The Mysterious Affair at Styles,Its a jolly good life taking it all roundif it werent for that fellow Alfred Inglethorp,78,Alfred Inglethorp,person
45,"Christie, Agatha",The Mysterious Affair at Styles,No shell have started from the hospital by now  Cynthia,81,Cynthia Murdoch,person
46,"Christie, Agatha",The Mysterious Affair at Styles,Thats not your wife  No Cynthia is a protegee of my mothers the daughter of an old schoolfellow of hers who married a rascally solicitor,82,Cynthia Murdoch,person
47,"Christie, Agatha",The Mysterious Affair at Styles,My mother came to the rescue and Cynthia has been with us nearly two years now,84,Cynthia Murdoch,person
49,"Christie, Agatha",The Mysterious Affair at Styles,Arthur HastingsMiss Howard,89,Evelyn Howard,person
50,"Christie, Agatha",The Mysterious Affair at Styles,Arthur HastingsMiss Howard,89,Arthur Hastings,person
53,"Christie, Agatha",The Mysterious Affair at Styles,Miss Howard shook hands with a hearty almost painful grip,90,Evelyn Howard,person
54,"Christie, Agatha",The Mysterious Affair at Styles,Youre a cynic Evie said John laughing,102,John Cavendish,person
56,"Christie, Agatha",The Mysterious Affair at Styles,Well said Miss Howard drawing off her gardening gloves Im inclined to agree with you,108,Evelyn Howard,person
57,"Christie, Agatha",The Mysterious Affair at Styles,My wife Hastings said John,111,John Cavendish,person
58,"Christie, Agatha",The Mysterious Affair at Styles,My wife Hastings said John,111,Arthur Hastings,person
59,"Christie, Agatha",The Mysterious Affair at Styles,I shall never forget my first sight of Mary Cavendish,112,Mary Cavendish,person
61,"Christie, Agatha",The Mysterious Affair at Styles,She greeted me with a few words of pleasant welcome in a low clear voice and I sank into a basket chair feeling distinctly glad that I had accepted Johns invitation,115,John Cavendish,person
62,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Cavendish gave me some tea and her few quiet remarks heightened my first impression of her as a thoroughly fascinating woman,116,Mary Cavendish,person
64,"Christie, Agatha",The Mysterious Affair at Styles,John of course good fellow though he is could hardly be called a brilliant conversationalist,118,John Cavendish,person
65,"Christie, Agatha",The Mysterious Affair at Styles,At that moment a well remembered voice floated through the open French window near at hand  Then youll write to the Princess after tea Alfred,119,Alfred Inglethorp,person
67,"Christie, Agatha",The Mysterious Affair at Styles,There was the murmur of a mans voice and then Mrs Inglethorps rose in reply  Yes certa,124,Mrs Inglethorp,person
69,"Christie, Agatha",The Mysterious Affair at Styles,You are so thoughtful Alfred dear,127,Alfred Inglethorp,person
72,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Inglethorp greeted me with effusion,130,Mrs Inglethorp,person
74,"Christie, Agatha",The Mysterious Affair at Styles,Why if it isnt too delightful to see you again Arthur Hastings after all these years,131,Arthur Hastings,person
77,"Christie, Agatha",The Mysterious Affair at Styles,Alfred darling Arthur Hastingsmy husband,132,Alfred Inglethorp,person
78,"Christie, Agatha",The Mysterious Affair at Styles,Alfred darling Arthur Hastingsmy husband,132,Arthur Hastings,person
80,"Christie, Agatha",The Mysterious Affair at Styles,I looked with some curiosity at Alfred darling,133,Alfred Inglethorp,person
82,"Christie, Agatha",The Mysterious Affair at Styles,I did not wonder at John objecting to his beard,135,John Cavendish,person
83,"Christie, Agatha",The Mysterious Affair at Styles,He placed a wooden hand in mine and said  This is a pleasure Arthur Hastings,140,Arthur Hastings,person
85,"Christie, Agatha",The Mysterious Affair at Styles,Then turning to his wife Emily dearest I think that cushion is a little damp,141,Mrs Inglethorp,person
86,"Christie, Agatha",The Mysterious Affair at Styles,With the presence of Mr Inglethorp a sense of constraint and veiled hostility seemed to settle down upon the company,144,Alfred Inglethorp,person
89,"Christie, Agatha",The Mysterious Affair at Styles,Miss Howard in particular took no pains to conceal her feelings,145,Evelyn Howard,person
90,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Inglethorp however seemed to notice nothing unusual,146,Mrs Inglethorp,person
94,"Christie, Agatha",The Mysterious Affair at Styles,Presently Mrs Inglethorp turned to give some instructions about letters to Evelyn Howard and her husband addressed me in his painstaking voice  Is soldiering your regular profession Arthur Hastings,151,Arthur Hastings,person
96,"Christie, Agatha",The Mysterious Affair at Styles,Presently Mrs Inglethorp turned to give some instructions about letters to Evelyn Howard and her husband addressed me in his painstaking voice  Is soldiering your regular profession Arthur Hastings,151,Evelyn Howard,person
98,"Christie, Agatha",The Mysterious Affair at Styles,Presently Mrs Inglethorp turned to give some instructions about letters to Evelyn Howard and her husband addressed me in his painstaking voice  Is soldiering your regular profession Arthur Hastings,151,Mrs Inglethorp,person
100,"Christie, Agatha",The Mysterious Affair at Styles,Mary Cavendish leant forward,155,Mary Cavendish,person
102,"Christie, Agatha",The Mysterious Affair at Styles,The real thingScotland Yard,165,Scotland,location
106,"Christie, Agatha",The Mysterious Affair at Styles,I came across a man in Belgium once a very famous detective and he quite inflamed me,168,Belgium,location
108,"Christie, Agatha",The Mysterious Affair at Styles,Like a good detective story myself remarked Miss Howard,173,Evelyn Howard,person
110,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Cavendishs clear voice startled me,191,Mary Cavendish,person
111,"Christie, Agatha",The Mysterious Affair at Styles,Why Mary what a gruesome conversation,194,Mary Cavendish,person
112,"Christie, Agatha",The Mysterious Affair at Styles,cried Mrs Inglethorp,195,Mrs Inglethorp,person
114,"Christie, Agatha",The Mysterious Affair at Styles,Oh theres Cynthia,197,Cynthia Murdoch,person
115,"Christie, Agatha",The Mysterious Affair at Styles,Why Cynthia you are late today,199,Cynthia Murdoch,person
116,"Christie, Agatha",The Mysterious Affair at Styles,This is Arthur HastingsMiss Murdoch,200,Arthur Hastings,person
118,"Christie, Agatha",The Mysterious Affair at Styles,This is Arthur HastingsMiss Murdoch,200,Cynthia Murdoch,person
119,"Christie, Agatha",The Mysterious Affair at Styles,Cynthia Murdoch was a freshlooking young creature full of life and vigour,201,Cynthia Murdoch,person
122,"Christie, Agatha",The Mysterious Affair at Styles,She flung herself down on the ground beside John and as I handed her a plate of sandwiches she smiled up at me  Sit down here on the grass do,204,John Cavendish,person
123,"Christie, Agatha",The Mysterious Affair at Styles,You work at Tadminster dont you Miss Murdoch,207,Cynthia Murdoch,person
124,"Christie, Agatha",The Mysterious Affair at Styles,I should like to see them cried Cynthia with dignity,212,Cynthia Murdoch,person
126,"Christie, Agatha",The Mysterious Affair at Styles,Sisters  are  you know Arthur Hastings,216,Arthur Hastings,person
128,"Christie, Agatha",The Mysterious Affair at Styles,Cynthia called Mrs Inglethorp do you think you could write a few notes for me  Certainly Mrs Inglethorp,225,Cynthia Murdoch,person
129,"Christie, Agatha",The Mysterious Affair at Styles,Cynthia called Mrs Inglethorp do you think you could write a few notes for me  Certainly Mrs Inglethorp,225,Mrs Inglethorp,person
133,"Christie, Agatha",The Mysterious Affair at Styles,She jumped up promptly and something in her manner reminded me that her position was a dependent one and that Mrs Inglethorp kind as she might be in the main did not allow her to forget it,226,Mrs Inglethorp,person
136,"Christie, Agatha",The Mysterious Affair at Styles,John will show you your room,228,John Cavendish,person
137,"Christie, Agatha",The Mysterious Affair at Styles,I expressed my appreciation and John took me into the house and up the broad staircase which forked right and left halfway to different wings of the building,234,John Cavendish,person
138,"Christie, Agatha",The Mysterious Affair at Styles,John left me and a few minutes later I saw him from my window walking slowly across the grass arm in arm with Cynthia Murdoch,236,John Cavendish,person
139,"Christie, Agatha",The Mysterious Affair at Styles,John left me and a few minutes later I saw him from my window walking slowly across the grass arm in arm with Cynthia Murdoch,236,Cynthia Murdoch,person
142,"Christie, Agatha",The Mysterious Affair at Styles,I heard Mrs Inglethorp call Cynthia impatiently and the girl started and ran back to the house,237,Cynthia Murdoch,person
143,"Christie, Agatha",The Mysterious Affair at Styles,I heard Mrs Inglethorp call Cynthia impatiently and the girl started and ran back to the house,237,Mrs Inglethorp,person
145,"Christie, Agatha",The Mysterious Affair at Styles,It was Johns younger brother Lawrence Cavendish,242,John Cavendish,person
146,"Christie, Agatha",The Mysterious Affair at Styles,It was Johns younger brother Lawrence Cavendish,242,Lawrence Cavendish,person
149,"Christie, Agatha",The Mysterious Affair at Styles,The evening passed pleasantly enough and I dreamed that night of that enigmatical woman Mary Cavendish,245,Mary Cavendish,person
150,"Christie, Agatha",The Mysterious Affair at Styles,I did not see Mrs Cavendish until lunchtime when she volunteered to take me for a walk and we spent a charming afternoon roaming in the woods returning to the house about five,247,Mary Cavendish,person
151,"Christie, Agatha",The Mysterious Affair at Styles,As we entered the large hall John beckoned us both into the smokingroom,248,John Cavendish,person
152,"Christie, Agatha",The Mysterious Affair at Styles,Look here Mary theres the deuce of a mess,251,Mary Cavendish,person
154,"Christie, Agatha",The Mysterious Affair at Styles,Evies had a row with Alfred Inglethorp and shes off,252,Alfred Inglethorp,person
158,"Christie, Agatha",The Mysterious Affair at Styles,Off  John nodded gloomily,254,John Cavendish,person
160,"Christie, Agatha",The Mysterious Affair at Styles,Miss Howard entered,256,Evelyn Howard,person
162,"Christie, Agatha",The Mysterious Affair at Styles,At any rate she burst out Ive spoken my mind  My dear Evelyn cried Mrs Cavendish this cant be true  Miss Howard nodded grimly,259,Evelyn Howard,person
164,"Christie, Agatha",The Mysterious Affair at Styles,At any rate she burst out Ive spoken my mind  My dear Evelyn cried Mrs Cavendish this cant be true  Miss Howard nodded grimly,259,Mary Cavendish,person
165,"Christie, Agatha",The Mysterious Affair at Styles,Afraid I said some things to Emily she wont forget or forgive in a hurry,261,Mrs Inglethorp,person
166,"Christie, Agatha",The Mysterious Affair at Styles,I said right out Youre an old woman Emily and theres no fool like an old fool,264,Mrs Inglethorp,person
167,"Christie, Agatha",The Mysterious Affair at Styles,Just ask your Alfred how much time he spends over there,269,Alfred Inglethorp,person
170,"Christie, Agatha",The Mysterious Affair at Styles,Hes a bad lot  What did she say  Miss Howard made an extremely expressive grimace,276,Evelyn Howard,person
171,"Christie, Agatha",The Mysterious Affair at Styles,Darling Alfreddearest Alfredwicked calumnieswicked lieswicked womanto accuse her dear husband,277,Alfred Inglethorp,person
173,"Christie, Agatha",The Mysterious Affair at Styles,For a moment we sat and stared at her Finally John Cavendish finding his persuasions of no avail went off to look up the trains,280,John Cavendish,person
175,"Christie, Agatha",The Mysterious Affair at Styles,His wife followed him murmuring something about persuading Mrs Inglethorp to think better of it,281,Mrs Inglethorp,person
178,"Christie, Agatha",The Mysterious Affair at Styles,As she left the room Miss Howards face changed,282,Evelyn Howard,person
179,"Christie, Agatha",The Mysterious Affair at Styles,Hastings youre honest,285,Arthur Hastings,person
180,"Christie, Agatha",The Mysterious Affair at Styles,Look after her Arthur Hastings,289,Arthur Hastings,person
182,"Christie, Agatha",The Mysterious Affair at Styles,My poor Emily,290,Mrs Inglethorp,person
184,"Christie, Agatha",The Mysterious Affair at Styles,Now Im out of the way theyll impose upon her  Of course Miss Howard I said Ill do everything I can but Im sure youre excited and overwrought,296,Evelyn Howard,person
186,"Christie, Agatha",The Mysterious Affair at Styles,The throb of the motor came through the open window and Miss Howard rose and moved to the door,302,Evelyn Howard,person
187,"Christie, Agatha",The Mysterious Affair at Styles,Johns voice sounded outside,303,John Cavendish,person
188,"Christie, Agatha",The Mysterious Affair at Styles,Above all Arthur Hastings watch that devilher husband,305,Arthur Hastings,person
191,"Christie, Agatha",The Mysterious Affair at Styles,Miss Howard was swallowed up in an eager chorus of protests and goodbyes,307,Evelyn Howard,person
193,"Christie, Agatha",The Mysterious Affair at Styles,As the motor drove away Mrs Cavendish suddenly detached herself from the group and moved across the drive to the lawn to meet a tall bearded man who had been evidently making for the house,309,Mary Cavendish,person
194,"Christie, Agatha",The Mysterious Affair at Styles,Thats Dr Bauerstein said John shortly,313,John Cavendish,person
195,"Christie, Agatha",The Mysterious Affair at Styles,Thats Dr Bauerstein said John shortly,313,Dr Bauerstein,person
196,"Christie, Agatha",The Mysterious Affair at Styles,And who is Dr Bauerstein  Hes staying in the village doing a rest cure after a bad nervous breakdown,314,Dr Bauerstein,person
197,"Christie, Agatha",The Mysterious Affair at Styles,Hes a London specialist a very clever manone of the greatest living experts on poisons I believe,315,London,location
198,"Christie, Agatha",The Mysterious Affair at Styles,And hes a great friend of Marys put in Cynthia the irrepressible,316,Mary Cavendish,person
199,"Christie, Agatha",The Mysterious Affair at Styles,And hes a great friend of Marys put in Cynthia the irrepressible,316,Cynthia Murdoch,person
200,"Christie, Agatha",The Mysterious Affair at Styles,John Cavendish frowned and changed the subject,317,John Cavendish,person
202,"Christie, Agatha",The Mysterious Affair at Styles,Come for a stroll Hastings,318,Arthur Hastings,person
204,"Christie, Agatha",The Mysterious Affair at Styles,She always had a rough tongue but there is no stauncher friend in England than Evelyn Howard,320,Evelyn Howard,person
206,"Christie, Agatha",The Mysterious Affair at Styles,She always had a rough tongue but there is no stauncher friend in England than Evelyn Howard,320,England,location
207,"Christie, Agatha",The Mysterious Affair at Styles,Johns face hardened,324,John Cavendish,person
208,"Christie, Agatha",The Mysterious Affair at Styles,The one that Miss Howard  Exactly said John with rather unnecessary abruptness,326,John Cavendish,person
210,"Christie, Agatha",The Mysterious Affair at Styles,The one that Miss Howard  Exactly said John with rather unnecessary abruptness,326,Evelyn Howard,person
211,"Christie, Agatha",The Mysterious Affair at Styles,Styles is really a glorious old place I said to John,329,John Cavendish,person
212,"Christie, Agatha",The Mysterious Affair at Styles,Styles is really a glorious old place I said to John,329,Styles,location
213,"Christie, Agatha",The Mysterious Affair at Styles,My dear Hastings I dont mind telling you that Im at my wits end for money,335,Arthur Hastings,person
214,"Christie, Agatha",The Mysterious Affair at Styles,Couldnt your brother help you  Lawrence,336,Lawrence Cavendish,person
216,"Christie, Agatha",The Mysterious Affair at Styles,For the first time I felt that with Evelyn Howard something indefinable had gone from the atmosphere,342,Evelyn Howard,person
218,"Christie, Agatha",The Mysterious Affair at Styles,The sinister face of Dr Bauerstein recurred to me unpleasantly,345,Dr Bauerstein,person
219,"Christie, Agatha",The Mysterious Affair at Styles,THE 16TH AND 17TH OF JULY  I had arrived at Styles on the 5th of July,349,Styles,location
222,"Christie, Agatha",The Mysterious Affair at Styles,I received a letter from Evelyn Howard a couple of days after her departure telling me she was working as a nurse at the big hospital in Middlingham a manufacturing town some fifteen miles away and begging me to let her know if Mrs Inglethorp should show any wish to be reconciled,353,Evelyn Howard,person
224,"Christie, Agatha",The Mysterious Affair at Styles,I received a letter from Evelyn Howard a couple of days after her departure telling me she was working as a nurse at the big hospital in Middlingham a manufacturing town some fifteen miles away and begging me to let her know if Mrs Inglethorp should show any wish to be reconciled,353,Mrs Inglethorp,person
